#,key#,piano_note,order,octave,name,sound/score_filename,keyboard_filename,clef,t_rest,root_t_note,octave_Δ,b,treble_note,octave_rest,-1Δ,0Δ,1Δ,treble_octaves,,b_rest,root_b_note,octave_Δ,b,bass_note,octave_rest,-1Δ,0Δ,1Δ,bass_octaves
33,22,G2b,2,2,G2b,033-22-2-bass-G2b,2-G2b,bass,,,,,r2,,,,,r1,,r4,ges,",",4,"r4 ges,4",r4,"ges,,4","ges,4",ges4,"r4 ges,,4 ges,4 ges4"
31,23,G2,2,2,G2,031-23-2-bass-G2,2-G2,bass,,,,,r2,,,,,r1,,r4,g,",",4,"r4 g,4",r4,"g,,4","g,4",g4,"r4 g,,4 g,4 g4"
32,24,G2#,2,2,G2#,032-24-2-bass-G2#,2-G2#,bass,,,,,r2,,,,,r1,,r4,gis,",",4,"r4 gis,4",r4,"gis,,4","gis,4",gis4,"r4 gis,,4 gis,4 gis4"
36,24,A2b,2,2,A2b,036-24-2-bass-A2b,2-A2b,bass,,,,,r2,,,,,r1,,r4,aes,",",4,"r4 aes,4",r4,"aes,,4","aes,4",aes4,"r4 aes,,4 aes,4 aes4"
34,25,A2,2,2,A2,034-25-2-bass-A2,2-A2,bass,,,,,r2,,,,,r1,,r4,a,",",4,"r4 a,4",r4,"a,,4","a,4",a4,"r4 a,,4 a,4 a4"
35,26,A2#,2,2,A2#,035-26-2-bass-A2#,2-A2#,bass,,,,,r2,,,,,r1,,r4,ais,",",4,"r4 ais,4",r4,"ais,,4","ais,4",ais4,"r4 ais,,4 ais,4 ais4"
38,26,B2b,2,2,B2b,038-26-2-bass-B2b,2-B2b,bass,,,,,r2,,,,,r1,,r4,bes,",",4,"r4 bes,4",r4,"bes,,4","bes,4",bes4,"r4 bes,,4 bes,4 bes4"
37,27,B2,2,2,B2,037-27-2-bass-B2,2-B2,bass,,,,,r2,,,,,r1,,r4,b,",",4,"r4 b,4",r4,"b,,4","b,4",b4,"r4 b,,4 b,4 b4"
39,28,C3,3,3,C3,039-28-3-treble-C3,3-C3,treble,r4,c,,4,r4 c4,r4,"c,4",c4,c'4,"r4 c,4 c4 c'4",,,,,,r2,,,,,r1
40,29,C3#,3,3,C3#,040-29-3-treble-C3#,3-C3#,treble,r4,cis,,4,r4 cis4,r4,"cis,4",cis4,cis'4,"r4 cis,4 cis4 cis'4",,,,,,r2,,,,,r1
43,29,D3b,3,3,D3b,043-29-3-treble-D3b,3-D3b,treble,r4,des,,4,r4 des4,r4,"des,4",des4,des'4,"r4 des,4 des4 des'4",,,,,,r2,,,,,r1
41,30,D3,3,3,D3,041-30-3-treble-D3,3-D3,treble,r4,d,,4,r4 d4,r4,"d,4",d4,d'4,"r4 d,4 d4 d'4",,,,,,r2,,,,,r1
42,31,D3#,3,3,D3#,042-31-3-treble-D3#,3-D3#,treble,r4,dis,,4,r4 dis4,r4,"dis,4",dis4,dis'4,"r4 dis,4 dis4 dis'4",,,,,,r2,,,,,r1
45,31,E3b,3,3,E3b,045-31-3-treble-E3b,3-E3b,treble,r4,ees,,4,r4 ees4,r4,"ees,4",ees4,ees'4,"r4 ees,4 ees4 ees'4",,,,,,r2,,,,,r1
44,32,E3,3,3,E3,044-32-3-treble-E3,3-E3,treble,r4,e,,4,r4 e4,r4,"e,4",e4,e'4,"r4 e,4 e4 e'4",,,,,,r2,,,,,r1
46,33,F3,3,3,F3,046-33-3-treble-F3,3-F3,treble,r4,f,,4,r4 f4,r4,"f,4",f4,f'4,"r4 f,4 f4 f'4",,,,,,r2,,,,,r1
47,34,F3#,3,3,F3#,047-34-3-treble-F3#,3-F3#,treble,r4,fis,,4,r4 fis4,r4,"fis,4",fis4,fis'4,"r4 fis,4 fis4 fis'4",,,,,,r2,,,,,r1
50,34,G3b,3,3,G3b,050-34-3-treble-G3b,3-G3b,treble,r4,ges,,4,r4 ges4,r4,"ges,4",ges4,ges'4,"r4 ges,4 ges4 ges'4",,,,,,r2,,,,,r1
48,35,G3,3,3,G3,048-35-3-treble-G3,3-G3,treble,r4,g,,4,r4 g4,r4,"g,4",g4,g'4,"r4 g,4 g4 g'4",,,,,,r2,,,,,r1
49,36,G3#,3,3,G3#,049-36-3-treble-G3#,3-G3#,treble,r4,gis,,4,r4 gis4,r4,"gis,4",gis4,gis'4,"r4 gis,4 gis4 gis'4",,,,,,r2,,,,,r1
53,36,A3b,3,3,A3b,053-36-3-treble-A3b,3-A3b,treble,r4,aes,,4,r4 aes4,r4,"aes,4",aes4,aes'4,"r4 aes,4 aes4 aes'4",,,,,,r2,,,,,r1
51,37,A3,3,3,A3,051-37-3-treble-A3,3-A3,treble,r4,a,,4,r4 a4,r4,"a,4",a4,a'4,"r4 a,4 a4 a'4",,,,,,r2,,,,,r1
52,38,A3#,3,3,A3#,052-38-3-treble-A3#,3-A3#,treble,r4,ais,,4,r4 ais4,r4,"ais,4",ais4,ais'4,"r4 ais,4 ais4 ais'4",,,,,,r2,,,,,r1
55,38,B3b,3,3,B3b,055-38-3-treble-B3b,3-B3b,treble,r4,bes,,4,r4 bes4,r4,"bes,4",bes4,bes'4,"r4 bes,4 bes4 bes'4",,,,,,r2,,,,,r1
54,39,B3,3,3,B3,054-39-3-treble-B3,3-B3,treble,r4,b,,4,r4 b4,r4,"b,4",b4,b'4,"r4 b,4 b4 b'4",,,,,,r2,,,,,r1
56,28,C3,1,3,C3,056-28-3-bass-C3,3-C3,bass,,,,,r2,,,,,r1,,r4,c,,4,r4 c4,r4,"c,4",c4,c'4,"r4 c,4 c4 c'4"
57,29,C3#,1,3,C3#,057-29-3-bass-C3#,3-C3#,bass,,,,,r2,,,,,r1,,r4,cis,,4,r4 cis4,r4,"cis,4",cis4,cis'4,"r4 cis,4 cis4 cis'4"
60,29,D3b,1,3,D3b,060-29-3-bass-D3b,3-D3b,bass,,,,,r2,,,,,r1,,r4,des,,4,r4 des4,r4,"des,4",des4,des'4,"r4 des,4 des4 des'4"
58,30,D3,1,3,D3,058-30-3-bass-D3,3-D3,bass,,,,,r2,,,,,r1,,r4,d,,4,r4 d4,r4,"d,4",d4,d'4,"r4 d,4 d4 d'4"
59,31,D3#,1,3,D3#,059-31-3-bass-D3#,3-D3#,bass,,,,,r2,,,,,r1,,r4,dis,,4,r4 dis4,r4,"dis,4",dis4,dis'4,"r4 dis,4 dis4 dis'4"
62,31,E3b,1,3,E3b,062-31-3-bass-E3b,3-E3b,bass,,,,,r2,,,,,r1,,r4,ees,,4,r4 ees4,r4,"ees,4",ees4,ees'4,"r4 ees,4 ees4 ees'4"
61,32,E3,1,3,E3,061-32-3-bass-E3,3-E3,bass,,,,,r2,,,,,r1,,r4,e,,4,r4 e4,r4,"e,4",e4,e'4,"r4 e,4 e4 e'4"
63,33,F3,1,3,F3,063-33-3-bass-F3,3-F3,bass,,,,,r2,,,,,r1,,r4,f,,4,r4 f4,r4,"f,4",f4,f'4,"r4 f,4 f4 f'4"
64,34,F3#,1,3,F3#,064-34-3-bass-F3#,3-F3#,bass,,,,,r2,,,,,r1,,r4,fis,,4,r4 fis4,r4,"fis,4",fis4,fis'4,"r4 fis,4 fis4 fis'4"
67,34,G3b,1,3,G3b,067-34-3-bass-G3b,3-G3b,bass,,,,,r2,,,,,r1,,r4,ges,,4,r4 ges4,r4,"ges,4",ges4,ges'4,"r4 ges,4 ges4 ges'4"
65,35,G3,1,3,G3,065-35-3-bass-G3,3-G3,bass,,,,,r2,,,,,r1,,r4,g,,4,r4 g4,r4,"g,4",g4,g'4,"r4 g,4 g4 g'4"
66,36,G3#,1,3,G3#,066-36-3-bass-G3#,3-G3#,bass,,,,,r2,,,,,r1,,r4,gis,,4,r4 gis4,r4,"gis,4",gis4,gis'4,"r4 gis,4 gis4 gis'4"
70,36,A3b,1,3,A3b,070-36-3-bass-A3b,3-A3b,bass,,,,,r2,,,,,r1,,r4,aes,,4,r4 aes4,r4,"aes,4",aes4,aes'4,"r4 aes,4 aes4 aes'4"
68,37,A3,1,3,A3,068-37-3-bass-A3,3-A3,bass,,,,,r2,,,,,r1,,r4,a,,4,r4 a4,r4,"a,4",a4,a'4,"r4 a,4 a4 a'4"
69,38,A3#,1,3,A3#,069-38-3-bass-A3#,3-A3#,bass,,,,,r2,,,,,r1,,r4,ais,,4,r4 ais4,r4,"ais,4",ais4,ais'4,"r4 ais,4 ais4 ais'4"
72,38,B3b,1,3,B3b,072-38-3-bass-B3b,3-B3b,bass,,,,,r2,,,,,r1,,r4,bes,,4,r4 bes4,r4,"bes,4",bes4,bes'4,"r4 bes,4 bes4 bes'4"
71,39,B3,1,3,B3,071-39-3-bass-B3,3-B3,bass,,,,,r2,,,,,r1,,r4,b,,4,r4 b4,r4,"b,4",b4,b'4,"r4 b,4 b4 b'4"
73,40,C4,0,4,C4,073-40-4-treble-C4,4-C4,treble,r4,c,',4,r4 c'4,r4,c4,c'4,c''4,r4 c4 c'4 c''4,,,,,,r2,,,,,r1
74,41,C4#,0,4,C4#,074-41-4-treble-C4#,4-C4#,treble,r4,cis,',4,r4 cis'4,r4,cis4,cis'4,cis''4,r4 cis4 cis'4 cis''4,,,,,,r2,,,,,r1
77,41,D4b,0,4,D4b,077-41-4-treble-D4b,4-D4b,treble,r4,des,',4,r4 des'4,r4,des4,des'4,des''4,r4 des4 des'4 des''4,,,,,,r2,,,,,r1
75,42,D4,0,4,D4,075-42-4-treble-D4,4-D4,treble,r4,d,',4,r4 d'4,r4,d4,d'4,d''4,r4 d4 d'4 d''4,,,,,,r2,,,,,r1
76,43,D4#,0,4,D4#,076-43-4-treble-D4#,4-D4#,treble,r4,dis,',4,r4 dis'4,r4,dis4,dis'4,dis''4,r4 dis4 dis'4 dis''4,,,,,,r2,,,,,r1
79,43,E4b,0,4,E4b,079-43-4-treble-E4b,4-E4b,treble,r4,ees,',4,r4 ees'4,r4,ees4,ees'4,ees''4,r4 ees4 ees'4 ees''4,,,,,,r2,,,,,r1
78,44,E4,0,4,E4,078-44-4-treble-E4,4-E4,treble,r4,e,',4,r4 e'4,r4,e4,e'4,e''4,r4 e4 e'4 e''4,,,,,,r2,,,,,r1
80,45,F4,0,4,F4,080-45-4-treble-F4,4-F4,treble,r4,f,',4,r4 f'4,r4,f4,f'4,f''4,r4 f4 f'4 f''4,,,,,,r2,,,,,r1
81,46,F4#,0,4,F4#,081-46-4-treble-F4#,4-F4#,treble,r4,fis,',4,r4 fis'4,r4,fis4,fis'4,fis''4,r4 fis4 fis'4 fis''4,,,,,,r2,,,,,r1
84,46,G4b,0,4,G4b,084-46-4-treble-G4b,4-G4b,treble,r4,ges,',4,r4 ges'4,r4,ges4,ges'4,ges''4,r4 ges4 ges'4 ges''4,,,,,,r2,,,,,r1
82,47,G4,0,4,G4,082-47-4-treble-G4,4-G4,treble,r4,g,',4,r4 g'4,r4,g4,g'4,g''4,r4 g4 g'4 g''4,,,,,,r2,,,,,r1
83,48,G4#,0,4,G4#,083-48-4-treble-G4#,4-G4#,treble,r4,gis,',4,r4 gis'4,r4,gis4,gis'4,gis''4,r4 gis4 gis'4 gis''4,,,,,,r2,,,,,r1
87,48,A4b,0,4,A4b,087-48-4-treble-A4b,4-A4b,treble,r4,aes,',4,r4 aes'4,r4,aes4,aes'4,aes''4,r4 aes4 aes'4 aes''4,,,,,,r2,,,,,r1
85,49,A4,0,4,A4,085-49-4-treble-A4,4-A4,treble,r4,a,',4,r4 a'4,r4,a4,a'4,a''4,r4 a4 a'4 a''4,,,,,,r2,,,,,r1
86,50,A4#,0,4,A4#,086-50-4-treble-A4#,4-A4#,treble,r4,ais,',4,r4 ais'4,r4,ais4,ais'4,ais''4,r4 ais4 ais'4 ais''4,,,,,,r2,,,,,r1
89,50,B4b,0,4,B4b,089-50-4-treble-B4b,4-B4b,treble,r4,bes,',4,r4 bes'4,r4,bes4,bes'4,bes''4,r4 bes4 bes'4 bes''4,,,,,,r2,,,,,r1
88,51,B4,0,4,B4,088-51-4-treble-B4,4-B4,treble,r4,b,',4,r4 b'4,r4,b4,b'4,b''4,r4 b4 b'4 b''4,,,,,,r2,,,,,r1
90,40,C4,1,4,C4,090-40-4-bass-C4,4-C4,bass,,,,,r2,,,,,r1,,r4,c,',4,r4 c'4,r4,c4,c'4,c''4,r4 c4 c'4 c''4
91,41,C4#,1,4,C4#,091-41-4-bass-C4#,4-C4#,bass,,,,,r2,,,,,r1,,r4,cis,',4,r4 cis'4,r4,cis4,cis'4,cis''4,r4 cis4 cis'4 cis''4
94,41,D4b,1,4,D4b,094-41-4-bass-D4b,4-D4b,bass,,,,,r2,,,,,r1,,r4,des,',4,r4 des'4,r4,des4,des'4,des''4,r4 des4 des'4 des''4
92,42,D4,1,4,D4,092-42-4-bass-D4,4-D4,bass,,,,,r2,,,,,r1,,r4,d,',4,r4 d'4,r4,d4,d'4,d''4,r4 d4 d'4 d''4
93,43,D4#,1,4,D4#,093-43-4-bass-D4#,4-D4#,bass,,,,,r2,,,,,r1,,r4,dis,',4,r4 dis'4,r4,dis4,dis'4,dis''4,r4 dis4 dis'4 dis''4
96,43,E4b,1,4,E4b,096-43-4-bass-E4b,4-E4b,bass,,,,,r2,,,,,r1,,r4,ees,',4,r4 ees'4,r4,ees4,ees'4,ees''4,r4 ees4 ees'4 ees''4
95,44,E4,1,4,E4,095-44-4-bass-E4,4-E4,bass,,,,,r2,,,,,r1,,r4,e,',4,r4 e'4,r4,e4,e'4,e''4,r4 e4 e'4 e''4
97,45,F4,1,4,F4,097-45-4-bass-F4,4-F4,bass,,,,,r2,,,,,r1,,r4,f,',4,r4 f'4,r4,f4,f'4,f''4,r4 f4 f'4 f''4
98,46,F4#,1,4,F4#,098-46-4-bass-F4#,4-F4#,bass,,,,,r2,,,,,r1,,r4,fis,',4,r4 fis'4,r4,fis4,fis'4,fis''4,r4 fis4 fis'4 fis''4
101,46,G4b,1,4,G4b,101-46-4-bass-G4b,4-G4b,bass,,,,,r2,,,,,r1,,r4,ges,',4,r4 ges'4,r4,ges4,ges'4,ges''4,r4 ges4 ges'4 ges''4
99,47,G4,1,4,G4,099-47-4-bass-G4,4-G4,bass,,,,,r2,,,,,r1,,r4,g,',4,r4 g'4,r4,g4,g'4,g''4,r4 g4 g'4 g''4
100,48,G4#,1,4,G4#,100-48-4-bass-G4#,4-G4#,bass,,,,,r2,,,,,r1,,r4,gis,',4,r4 gis'4,r4,gis4,gis'4,gis''4,r4 gis4 gis'4 gis''4
104,48,A4b,1,4,A4b,104-48-4-bass-A4b,4-A4b,bass,,,,,r2,,,,,r1,,r4,aes,',4,r4 aes'4,r4,aes4,aes'4,aes''4,r4 aes4 aes'4 aes''4
102,49,A4,1,4,A4,102-49-4-bass-A4,4-A4,bass,,,,,r2,,,,,r1,,r4,a,',4,r4 a'4,r4,a4,a'4,a''4,r4 a4 a'4 a''4
103,50,A4#,1,4,A4#,103-50-4-bass-A4#,4-A4#,bass,,,,,r2,,,,,r1,,r4,ais,',4,r4 ais'4,r4,ais4,ais'4,ais''4,r4 ais4 ais'4 ais''4
106,50,B4b,1,4,B4b,106-50-4-bass-B4b,4-B4b,bass,,,,,r2,,,,,r1,,r4,bes,',4,r4 bes'4,r4,bes4,bes'4,bes''4,r4 bes4 bes'4 bes''4
105,51,B4,1,4,B4,105-51-4-bass-B4,4-B4,bass,,,,,r2,,,,,r1,,r4,b,',4,r4 b'4,r4,b4,b'4,b''4,r4 b4 b'4 b''4
107,52,C5,1,5,C5,107-52-5-bass-C5,5-C5,bass,,,,,r2,,,,,r1,,r4,c,'',4,r4 c''4,r4,c'4,c''4,c'''4,r4 c'4 c''4 c'''4
108,53,C5#,1,5,C5#,108-53-5-bass-C5#,5-C5#,bass,,,,,r2,,,,,r1,,r4,cis,'',4,r4 cis''4,r4,cis'4,cis''4,cis'''4,r4 cis'4 cis''4 cis'''4
109,52,C5,0,5,C5,109-52-5-treble-C5,5-C5,treble,r4,c,'',4,r4 c''4,r4,c'4,c''4,c'''4,r4 c'4 c''4 c'''4,,,,,,r2,,,,,r1
110,53,C5#,0,5,C5#,110-53-5-treble-C5#,5-C5#,treble,r4,cis,'',4,r4 cis''4,r4,cis'4,cis''4,cis'''4,r4 cis'4 cis''4 cis'''4,,,,,,r2,,,,,r1
113,53,D5b,0,5,D5b,113-53-5-treble-D5b,5-D5b,treble,r4,des,'',4,r4 des''4,r4,des'4,des''4,des'''4,r4 des'4 des''4 des'''4,,,,,,r2,,,,,r1
111,54,D5,0,5,D5,111-54-5-treble-D5,5-D5,treble,r4,d,'',4,r4 d''4,r4,d'4,d''4,d'''4,r4 d'4 d''4 d'''4,,,,,,r2,,,,,r1
112,55,D5#,0,5,D5#,112-55-5-treble-D5#,5-D5#,treble,r4,dis,'',4,r4 dis''4,r4,dis'4,dis''4,dis'''4,r4 dis'4 dis''4 dis'''4,,,,,,r2,,,,,r1
115,55,E5b,0,5,E5b,115-55-5-treble-E5b,5-E5b,treble,r4,ees,'',4,r4 ees''4,r4,ees'4,ees''4,ees'''4,r4 ees'4 ees''4 ees'''4,,,,,,r2,,,,,r1
114,56,E5,0,5,E5,114-56-5-treble-E5,5-E5,treble,r4,e,'',4,r4 e''4,r4,e'4,e''4,e'''4,r4 e'4 e''4 e'''4,,,,,,r2,,,,,r1
116,57,F5,0,5,F5,116-57-5-treble-F5,5-F5,treble,r4,f,'',4,r4 f''4,r4,f'4,f''4,f'''4,r4 f'4 f''4 f'''4,,,,,,r2,,,,,r1
117,58,F5#,0,5,F5#,117-58-5-treble-F5#,5-F5#,treble,r4,fis,'',4,r4 fis''4,r4,fis'4,fis''4,fis'''4,r4 fis'4 fis''4 fis'''4,,,,,,r2,,,,,r1
120,58,G5b,0,5,G5b,120-58-5-treble-G5b,5-G5b,treble,r4,ges,'',4,r4 ges''4,r4,ges'4,ges''4,ges'''4,r4 ges'4 ges''4 ges'''4,,,,,,r2,,,,,r1
118,59,G5,0,5,G5,118-59-5-treble-G5,5-G5,treble,r4,g,'',4,r4 g''4,r4,g'4,g''4,g'''4,r4 g'4 g''4 g'''4,,,,,,r2,,,,,r1
119,60,G5#,0,5,G5#,119-60-5-treble-G5#,5-G5#,treble,r4,gis,'',4,r4 gis''4,r4,gis'4,gis''4,gis'''4,r4 gis'4 gis''4 gis'''4,,,,,,r2,,,,,r1
123,60,A5b,0,5,A5b,123-60-5-treble-A5b,5-A5b,treble,r4,aes,'',4,r4 aes''4,r4,aes'4,aes''4,aes'''4,r4 aes'4 aes''4 aes'''4,,,,,,r2,,,,,r1
121,61,A5,0,5,A5,121-61-5-treble-A5,5-A5,treble,r4,a,'',4,r4 a''4,r4,a'4,a''4,a'''4,r4 a'4 a''4 a'''4,,,,,,r2,,,,,r1
122,62,A5#,0,5,A5#,122-62-5-treble-A5#,5-A5#,treble,r4,ais,'',4,r4 ais''4,r4,ais'4,ais''4,ais'''4,r4 ais'4 ais''4 ais'''4,,,,,,r2,,,,,r1
125,62,B5b,0,5,B5b,125-62-5-treble-B5b,5-B5b,treble,r4,bes,'',4,r4 bes''4,r4,bes'4,bes''4,bes'''4,r4 bes'4 bes''4 bes'''4,,,,,,r2,,,,,r1
124,63,B5,0,5,B5,124-63-5-treble-B5,5-B5,treble,r4,b,'',4,r4 b''4,r4,b'4,b''4,b'''4,r4 b'4 b''4 b'''4,,,,,,r2,,,,,r1
126,64,C6,1,6,C6,126-64-6-treble-C6,6-C6,treble,r4,c,''',4,r4 c'''4,r4,c''4,c'''4,c''''4,r4 c''4 c'''4 c''''4,,,,,,r2,,,,,r1
127,65,C6#,1,6,C6#,127-65-6-treble-C6#,6-C6#,treble,r4,cis,''',4,r4 cis'''4,r4,cis''4,cis'''4,cis''''4,r4 cis''4 cis'''4 cis''''4,,,,,,r2,,,,,r1
130,65,D6b,1,6,D6b,130-65-6-treble-D6b,6-D6b,treble,r4,des,''',4,r4 des'''4,r4,des''4,des'''4,des''''4,r4 des''4 des'''4 des''''4,,,,,,r2,,,,,r1
128,66,D6,1,6,D6,128-66-6-treble-D6,6-D6,treble,r4,d,''',4,r4 d'''4,r4,d''4,d'''4,d''''4,r4 d''4 d'''4 d''''4,,,,,,r2,,,,,r1
129,67,D6#,1,6,D6#,129-67-6-treble-D6#,6-D6#,treble,r4,dis,''',4,r4 dis'''4,r4,dis''4,dis'''4,dis''''4,r4 dis''4 dis'''4 dis''''4,,,,,,r2,,,,,r1
132,67,E6b,1,6,E6b,132-67-6-treble-E6b,6-E6b,treble,r4,ees,''',4,r4 ees'''4,r4,ees''4,ees'''4,ees''''4,r4 ees''4 ees'''4 ees''''4,,,,,,r2,,,,,r1
131,68,E6,1,6,E6,131-68-6-treble-E6,6-E6,treble,r4,e,''',4,r4 e'''4,r4,e''4,e'''4,e''''4,r4 e''4 e'''4 e''''4,,,,,,r2,,,,,r1
133,69,F6,1,6,F6,133-69-6-treble-F6,6-F6,treble,r4,f,''',4,r4 f'''4,r4,f''4,f'''4,f''''4,r4 f''4 f'''4 f''''4,,,,,,r2,,,,,r1
